index	term	definition
585	ethics	道德规范：governing conduct
586	genteel	有教养的，不粗俗的：free from vulgarity
587	marital	婚姻的
588	polygamous	一夫多妻的，一妻多夫的
589	household	a&n 家庭（的），一家（的）
590	parasite	寄生虫
591	parasitic	寄生的
592	mimicry	n. （生物）拟态；模仿
593	symbiotic	共生的
594	symbiosis	共生关系：living together
595	organism	n.生物；有机体
596	species	物种
597	vital	a.极其重要的；充满活力的
598	evolve	v 发展；进化
599	Darwinism	达尔文学说
600	proliferate	激增，繁殖
601	propagate	繁殖
602	subsist	生存
603	posterity	后代
604	fermentation	发酵
605	respiration	n. 呼吸；呼吸作用
606	stodgy	难消化的
607	secretion	分泌物
608	secrete	分泌
609	assimilate	吸收
610	immune	免疫的
611	immunity	免疫力
612	metabolism	新陈代谢
613	morphology	形态学
614	microscope	显微镜
615	glucose	葡萄糖
616	protein	蛋白质
617	discrete	离散的，不连续的：separate
618	symmetry	n.对称；均衡
619	sequence	序列
620	dual	adj. 双的；双重的n. 双数；双数词
621	induction	n.归纳法,感应,就职,入门
622	inference	n.推论
623	qualitative	a.性质上的,质的,定性的
624	dispersion	离差，差量
625	vertical	adj. 垂直的，直立的；[解剖] 头顶的，顶点的n. 垂直线，垂直面
626	plumb	测深度：measure the depth；垂直的：vertical；仔细深入地检查；探索，探究：examine deeply
627	upright	a.垂直的；正直的
628	cubic	adj. 立方体的
629	circuitous	a.迂回的，绕圈子的
630	facet	n. 方面，平面
631	sphere	n. 球体
632	loop	vi. 打环；翻筋斗n. 环；圈；弯曲部分；翻筋斗vt. 使成环；以环连结；使翻筋斗
633	triangle	n 三角形；三角形的东西；三角板
634	circumference	n.周围；圆周；周长
635	cone	圆锥
636	caliber	口径，才干，品质
637	diameter	直径
638	column	n. 专栏；圆柱
639	ellipse	椭圆
640	diagram	n.图解，图表
641	polygon	n 多边形，多角形
642	intersect	v.横截，横断；(线条)相交
643	radius	半径，范围
644	rectangle	n.长方形，矩形
645	square	正方形，平方,广场，直角尺
646	parallel	a.平行的；类似的；n.平行线；v.与...相似
647	deduction	n. 扣除，减除；推论；减除额
648	degree	n. 程度，等级；度；学位；阶层
649	geometry	n.几何，几何学
650	mathematics	n. 数学；数学运算
651	arithmetic	算术
652	Statistics	n 统计学，统计法；统计数字（资料）
653	even	adj. [数] 偶数的；平坦的；相等的adv. 甚至；即使；还；实际上vt. 使平坦；使相等vi. 变平；变得可比较；成为相等
654	odd	adj. 奇数的；古怪的
655	decimal	adj. 小数的；十进位的n. 小数
656	ratio	n. 比率，比例
657	estimate	v 估计，估算
658	enumerate	v.列举，枚举
659	variant	变体，变种
660	variable	adj. 多变的;易变的;反复无常的 n. 变量;变项;变元
661	abacus	算盘
662	aggregate	v.集合；合计
663	calculus	微积分
664	digit	n.手指，足趾；数字，数码
665	function	函数，功能
666	subtract	v.减，减去，去掉
667	addition	加法, 增加的人(或物)
668	minus	a.负的,减的 prep.减去 n.负号,减号
669	multiply	v.乘；大量增加；繁殖
670	multiplication	n.增加；繁殖；乘法
671	numeral	n.数字,数a.数字的,表示数字的
672	percentage	n [数]百分法；百分数；百分比；[商]手续费，佣金
673	quarter	n. 四分之一
674	fraction	分数
675	divide	v. 分割，除
676	celestial	a.天体的，天上的
677	orbit	轨道
678	comet	n. 彗星
679	constellation	n.星座，星群
680	asteroid	n.小游星,小行星,海盘车a.星状的
681	chondrite	n. [地质] 球粒状陨石
682	cluster	星团;从，束
683	meteor	n.流星,大气现象
684	dwarf	n.侏儒；矮小的植物；白矮星v.使变矮小
685	stellar	恒星的
686	cosmos	n.宇宙；秩序，和谐
687	cosmic	a.宇宙的；广大无边的
688	cosmology	n.宇宙哲学,宇宙论
689	nebula	n 星云；云状，雾影
690	quasar	恒星状球体，类星体
691	planetoid	小行星；小行星体
692	intergalactic	adj. 星系间的；银河间的
693	interplanetary	行星间的，太阳系内的
694	interstellar	adj. [航][天] 星际的
695	corona	n.日冕，光环
696	chromosphere	太阳的色球层
697	photosphere	光球；光球层
698	pseudoscience	伪科学
699	astronomy	n. 天文学
700	astronomical	天文学的
701	astrology	n.占星术；占星学
702	astrophysics	天文物理学
703	Jupiter	n 木星；[罗神]（主神）朱庇特
704	lunar	adj.月球的，阴历的
705	Uranus	天王星
706	Venus	n. [天] 金星；维纳斯（爱与美的女神）
707	Pluto	n. [天] 冥王星；冥王
708	Neptune	海王星
709	Saturn	n.农神；土星
710	emission	n. 散发；发射
711	infinite	无尽的，无限的：no boundaries
712	interferometer	干扰仪，干涉仪
713	revolve	vi. 旋转；循环出现；反复考虑vt. 使...旋转；使...循环；反复考虑n. 旋转；循环；旋转舞台
714	spacecraft	太空飞船
715	telescope	望远镜
716	compatible	adj. 兼容的；能共处的；可并立的
717	boundary	边界
718	boundless	a.无限的，无边无际的
719	cohesive	有粘性的；有凝聚力的：cohesion or coherence
720	horizontal	n. 水平线adj. 地平线的；水平的
721	bulk	n 体积，容积，大小；物体
722	brim	边缘，边界：outer margin；充满：full often to overflowing；加满，倒满：as much as can be;杯、碗的边
723	rim	n.边；边缘，(眼镜)框
724	brink	边缘 边沿
725	constituent	n.成分；选区内的选民
726	dimension	n.维度，尺寸
727	elasticity	n. 弹力，弹性
728	cohesion	n.（人、物）内聚力，凝聚力
729	mechanics	n. 机械学，力学
730	gravity	n 重力，引力
731	impetus	n.推动力, 促进
732	Decelerate	减速[accelerate反]
733	expedite	加速
734	quiver	颤抖，抖动
735	jar	"1 v 使震动，使摇动2 n （圆柱形、大口的）罐子，坛子，瓶子"
736	vibration	n. 振动；犹豫；心灵感应
737	discharge	v.流出；释放；解雇；履行义务
738	diffuse	v.散播,传播a.散开的,弥漫的
739	emit	v.放射(光、热、味等)
740	transpire	v.发生，蒸发，泄露
741	constitute	v.组成，构成；建立
742	eject	v 喷出，吐出（烟等）；发射，喷射
743	electron	电子
744	neutron	中子
745	nucleus	原子核
746	proton	质子
747	atom	原子
748	nuclear	a 核的，核心的；原子能的；核动力的
749	fusion	n.熔合；聚变
750	thermometer	n.温度计,体温计
751	thaw	融化
752	centigrade	a.百分度的，摄氏温度计的
753	clot	n.凝块；v.使凝结成块
754	sublimate	v.（使）升华，净化
755	distillation	n. 蒸馏
756	clutter	n.杂乱vt.弄乱,混乱
757	equilibrium	均势，平衡：opposing forces are equal；（感情上的）平静：evenness of emotions
758	density	密度
759	liquid	n.液体
760	dilute	v.把(液体)弄稀，弄淡
761	dehydrate	脱水
762	declivity	斜坡，倾斜
763	ventilation	通风
764	evaporate	蒸发
765	evaporation	n. 蒸发；消失
766	thermodynamics	热力学
767	attrition	n.磨损，摩擦
768	chafe	擦热
769	resonance	n 回声，反响 v 共鸣
770	ultrasonics	n. 超音波学
771	sonar	声纳
772	acoustic	原声的、声音的、听觉的
773	electromagnet	n.电磁石,电磁体
774	electromagnetism	电磁，电磁学
775	electronic	电子的
776	electronics	电子学
777	amplifier	n.放大器，扩大器
778	conductor	导体
779	semiconductor	半导体
780	insulator	绝缘体
781	magnetism	n. 磁，磁力
782	transistor	晶体管
783	ultraviolet	a.紫外的n.紫外线辐射
784	microwave	微波炉
785	gravitation	n. 引力作用，重力
786	oscillation	振荡，摆动
787	statics	静力学
788	relativity	n.相关(性);相对论
789	velocity	n. 速度
790	acceleration	n. 加速度
791	transparent	透明的
792	opaque	a.不透明的；难懂的
793	translucent	半透明的
794	optical	a.视觉的；光学的
795	spectrum	n．光谱，范围
796	magnifier	放大镜，放大器
797	lens	透镜，镜头
798	contagious	传染性的
799	catching	adj. 传染的；有魅力的，迷人的
800	infectious	adj.有传染性的, 易传染的, 有感染力的
801	acute	adj. 急性的；敏锐的
802	feverish	发烧的
803	invalid	n.病人,伤残人 a.有病的,伤残的;无效的
804	morbid	a.病态的，不正常的
805	unconscious	无意识的
806	fragile	a.易碎的，易坏的
807	susceptible	a.易受影响的，脆弱的,易受感染的
808	malady	n.疾病
809	gash	深长的伤口或切口：deep cut；砍伤，切开：make gash
810	symptom	n.症状；征候，征兆
811	fracture	n.骨折；折断；裂口
812	tingle	v. 刺痛，激动
813	recur	vi. 重现，再来；复发
814	relapse	故态复萌，再犯：fall back
815	fester	感染，溃烂，腐烂：corrupt
816	intoxicate	v.(使)沉醉，(使)欣喜若狂；(使)喝醉, 使中毒
817	diagnose	v.判断，诊断
818	diagnosis	n. 诊断
819	remedy	n. 补救方法；解决方法，解决良方；药品；治疗方法v. 纠正；补救；矫正
820	prescription	n.药方，处方的药
821	dissect	解剖
822	sterile	贫瘠的：not productive；无菌的：free from bacteria
823	anatomy	n. 解剖；解剖学；剖析；骨骼
824	hygiene	卫生
825	sanitation	n 公共卫生，卫生设备，下水道设备
826	sustenance	n 食物，营养；生计；支持（物）
827	malnourished	营养失调的 营养不良的
828	picturesque	a.如画的；独特的，别具风格的
829	statue	n.塑像,雕像
830	portrait	n 肖像，肖像画；相片
831	impressionism	印象主义
832	portray	v 画（人物、风景），画（肖像），描绘；描写；描述
833	mold	vt. 塑造；使发霉；用模子制作vi. 发霉n. 霉菌；模子
834	embroider	v.刺绣，修饰
835	tragedy	n.悲剧，惨事，灾难
836	rehearse	v.排练，预演；详述
837	prelude	n.(行动，事情的)序幕，前奏
838	profile	n. 侧面；轮廓；外形；剖面；简况vt. 描...的轮廓；扼要描述vi. 给出轮廓
839	renaissance	n 复兴；新生；文艺复兴（期）
840	conjure	v.恳求，祈求；变魔术，变戏法
841	aesthetic	a.美学的，有审美感的
842	euphonious	悦耳的，动听的
843	harsh	刺耳的
844	movement	运动;乐章
845	score	n.得分,分数;二十 v.得(分),记(...的)分数；乐谱
846	episode	n.一段情节；插曲，片段
847	orchestra	管弦乐队
848	chorus	n.合唱队，歌舞团
